DATE,DAY,SEASON,TEST SITE,HABITAT,SAMPLE TYPE,CLASS,ORDER,SUBORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,SUBTRIBE,GENUS ,SPECIES,STAGE COLL.,# COLLECTED,# FEMALE,# MALE,# UNKNOWN,NOTES,,Total
31-Jul-15,1,Summer,Urban East 1,,Wasp,,,,,,,,,Lucilia,sericata,Adult,117,86,31,0,,,12792
31-Jul-15,1,Summer,Urban East 1,,Wasp,,,,,,,,,Lucilia,coeruliviridis,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban East 1,,Wasp,,,,,,,,,Phormia,regina,Adult,1,1,0,0,,,
31-Jul-15,1,Summer,Urban East 1,,Wasp,,,,,,,,,Calliphora,vicina,Adult,1,0,1,0,,,
31-Jul-15,1,Summer,Urban East 1,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban East 1,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Park Mid 1,,Wasp,,,,,,,,,Lucilia,sericata,Adult,14,14,0,0,,,
31-Jul-15,1,Summer,Park Mid 1,,Wasp,,,,,,,,,Lucilia,coeruliviridis,Adult,71,66,5,0,,,
31-Jul-15,1,Summer,Park Mid 1,,Wasp,,,,,,,,,Phormia,regina,Adult,1,1,0,0,,,
31-Jul-15,1,Summer,Park Mid 1,,Wasp,,,,,,,,,Calliphora,vicina,Adult,6,4,2,0,,,
31-Jul-15,1,Summer,Park Mid 1,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Park Mid 1,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban West 1,,Wasp,,,,,,,,,Lucilia,sericata,Adult,9,9,0,0,,,
31-Jul-15,1,Summer,Urban West 1,,Wasp,,,,,,,,,Lucilia,coeruliviridis,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban West 1,,Wasp,,,,,,,,,Phormia,regina,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban West 1,,Wasp,,,,,,,,,Calliphora,vicina,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban West 1,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban West 1,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban East 3,,Wasp,,,,,,,,,Lucilia,sericata,Adult,2,2,0,0,,,
31-Jul-15,1,Summer,Urban East 3,,Wasp,,,,,,,,,Lucilia,coeruliviridis,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban East 3,,Wasp,,,,,,,,,Phormia,regina,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban East 3,,Wasp,,,,,,,,,Calliphora,vicina,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban East 3,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban East 3,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Park Mid 3,,Wasp,,,,,,,,,Lucilia,sericata,Adult,8,8,0,0,,,
31-Jul-15,1,Summer,Park Mid 3,,Wasp,,,,,,,,,Lucilia,coeruliviridis,Adult,41,40,1,0,,,
31-Jul-15,1,Summer,Park Mid 3,,Wasp,,,,,,,,,Phormia,regina,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Park Mid 3,,Wasp,,,,,,,,,Calliphora,vicina,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Park Mid 3,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Park Mid 3,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban West 3,,Wasp,,,,,,,,,Lucilia,sericata,Adult,30,22,8,0,,,
31-Jul-15,1,Summer,Urban West 3,,Wasp,,,,,,,,,Lucilia,coeruliviridis,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban West 3,,Wasp,,,,,,,,,Phormia,regina,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban West 3,,Wasp,,,,,,,,,Calliphora,vicina,Adult,1,0,1,0,,,
31-Jul-15,1,Summer,Urban West 3,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban West 3,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban East 5,,Wasp,,,,,,,,,Lucilia,sericata,Adult,3,2,1,0,,,
31-Jul-15,1,Summer,Urban East 5,,Wasp,,,,,,,,,Lucilia,coeruliviridis,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban East 5,,Wasp,,,,,,,,,Phormia,regina,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban East 5,,Wasp,,,,,,,,,Calliphora,vicina,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban East 5,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Urban East 5,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
31-Jul-15,1,Summer,Park Mid 5,,Wasp,,,,,,,,,Lucilia,sericata,Adult,62,38,24,0,,,
31-Jul-15,1,Summer,Park Mid 5,,Wasp,,,,,,,,,Lucilia,coeruliviridis,Adult,6,5,1,0,,,
