SPECIES,REP,TISSUE,TISSUE_A,CODE,SEX,TIBIA_MM,WING_MM,THORAX_MM
LS,1,Pork Liver,Liver 1,LS.L1.F1,F,2.201,7.022,4.169
LS,1,Pork Liver,Liver 1,LS.L1.F2,F,1.925,6.973,3.541
LS,1,Pork Liver,Liver 1,LS.L1.F3,F,2.15,7.039,3.447
LS,1,Pork Liver,Liver 1,LS.L1.F4,F,2.069,7.492,4.038
LS,1,Pork Liver,Liver 1,LS.L1.F5,F,2.102,7.572,3.64
LS,2,Pork Liver,Liver 2,LS.L2.F1,F,2.162,7.301,3.474
LS,2,Pork Liver,Liver 2,LS.L2.F2,F,2.037,7.238,3.939
LS,2,Pork Liver,Liver 2,LS.L2.F3,F,2.022,6.455,3.927
LS,2,Pork Liver,Liver 2,LS.L2.F4,F,1.967,6.862,3.013
LS,2,Pork Liver,Liver 2,LS.L2.F5,F,2.168,6.839,3.778
LS,3,Pork Liver,Liver 3,LS.L3.F1,F,2.175,6.938,3.356
LS,3,Pork Liver,Liver 3,LS.L3.F2,F,2.21,7.687,3.888
LS,3,Pork Liver,Liver 3,LS.L3.F3,F,1.946,6.958,3.556
LS,3,Pork Liver,Liver 3,LS.L3.F4,F,2.137,6.789,3.442
LS,3,Pork Liver,Liver 3,LS.L3.F5,F,2.462,6.719,3.142
LS,4,Pork Liver,Liver 4,LS.L4.F1,F,2.089,7.041,3.739
LS,4,Pork Liver,Liver 4,LS.L4.F2,F,2.162,6.837,3.507
LS,4,Pork Liver,Liver 4,LS.L4.F3,F,1.895,6.69,3.235
LS,4,Pork Liver,Liver 4,LS.L4.F4,F,2.325,7.53,3.591
LS,4,Pork Liver,Liver 4,LS.L4.F5,F,2.104,7.005,3.682
LS,5,Pork Liver,Liver 5,LS.L5.F1,F,1.954,6.806,3.6
LS,5,Pork Liver,Liver 5,LS.L5.F2,F,2.081,6.929,3.6
LS,5,Pork Liver,Liver 5,LS.L5.F3,F,2.2,7.304,3.438
LS,5,Pork Liver,Liver 5,LS.L5.F4,F,1.95,6.977,3.225
LS,5,Pork Liver,Liver 5,LS.L5.F5,F,2.155,7.235,3.656
LS,1,Brain,Brain 1,LS.B1.F1,F,1.981,6.968,3.434
LS,1,Brain,Brain 1,LS.B1.F2,F,2.226,7.445,3.7
LS,1,Brain,Brain 1,LS.B1.F3,F,2.121,6.995,3.519
LS,1,Brain,Brain 1,LS.B1.F4,F,2.039,6.676,3.469
LS,1,Brain,Brain 1,LS.B1.F5,F,2.107,7.331,3.663
LS,2,Brain,Brain 2,LS.B2.F1,F,2.035,7.003,3.671
LS,2,Brain,Brain 2,LS.B2.F2,F,2.242,7.674,4.036
LS,2,Brain,Brain 2,LS.B2.F3,F,2.289,7.374,3.738
